"p_success_curr","out_mean","out_lci","out_uci"
0,1.09302240583619,0.765410690993006,1.5631781968109
0.05,1.0666369734714,0.75450165547389,1.51017847845649
0.1,1.0415698845468,0.744031021117212,1.46036617547947
0.15,1.01805222136632,0.73434681992732,1.41368247700924
0.2,0.996374308454532,0.725898828014266,1.37006600007955
0.25,0.976863076765534,0.719171181868629,1.32951911813668
0.3,0.95982799118719,0.71453785038627,1.29220941973992
0.35,0.945471456207333,0.712067400253464,1.25853421663309
0.4,0.933773843580426,0.71137611343814,1.22902006165429
0.45,0.92438259922732,0.711683032731002,1.20394049109681
0.5,0.916550440438698,0.712118995819219,1.18273617717349
0.55,0.909166246945049,0.712003699746438,1.16372378274415
0.6,0.900894593531693,0.710715010113316,1.14459982406389
0.65,0.89039358651359,0.707315890258171,1.12347683931946
0.7,0.876544251425119,0.700421721628288,1.0996437812368
0.75,0.858627201198261,0.68854152884892,1.07351362647371
0.8,0.836420611079713,0.670759859769815,1.04589091154858
0.85,0.810228978111162,0.647230445601132,1.01735314731922
0.9,0.780852430794532,0.619009073430993,0.988402798582259
0.95,0.749485046607308,0.587456574587569,0.960034855258006
1,0.717530075074526,0.553862941352434,0.933814648466068
